Round,Delegate,Previously Forged Height,Max Height Prevoted,Active Since Round,Height,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1,D1,0,0,1,1,Precommits,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D2,0,0,1,2,Precommits,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D3,0,0,1,3,Precommits,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D4,0,0,1,4,Precommits,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D5,0,1,1,5,Precommits,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,D1,1,2,1,6,Precommits,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,5,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D2,2,3,1,7,Precommits,3,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,5,5,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D3,3,4,1,8,Precommits,4,3,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,5,5,5,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D4,4,5,1,9,Precommits,5,4,3,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,5,5,5,5,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D5,5,6,1,10,Precommits,5,5,4,3,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,5,5,5,5,5,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,
3,D1,6,7,1,11,Precommits,5,5,5,4,3,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Prevotes,5,5,5,5,5,5,5,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
,D2,7,8,1,12,Precommits,5,5,5,5,4,3,2,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
